# 2024-12-22 19:12:18 EET
NAnsw	File	Key	Quest	Discrepancies?	IdxCorrect	AnsKeys	Answers...
2	inputs/yaml/frontiers_in_chemistry.yaml	data_sharing_method:	8. Recommended data sharing method	true	0	0:,1:	Public online repositories recommended in RDP.	No data sharing method recommended in RDP.
2	inputs/yaml/frontiers_in_chemistry.yaml	data_licenses:	9. Recommended/required licenses	false		0:,1:	No mention of data/code licenses in RDP.	No mention of data/code licenses in RDP.
2	inputs/yaml/frontiers_in_chemistry.yaml	data_referee:	10. Referee guidelines concerning research data	true	1	0:,1:	Data sharing policy not mentioned in refereeing guidelines.	Data sharing policy mentioned in refereeing guidelines.
2	inputs/yaml/frontiers_in_chemistry.yaml	data_recommended:	11. Unique policies for data types Please name all data types for which unique policies are recommended according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)	false	0	0:,1:	Authors are encouraged to consider deposition in public, community-supported repositories of the data-types listed below. Protein-protein interaction data; Metabolite and metabolome profiling data; Small-molecule screening data; chemical compound data; Flow cytometry data; Brain imaging data; neuroimaging data; Trait data; Phenology data; Any data; Enzymology and biocatalysis data	Protein-protein interaction data; Metabolite and metabolome profiling data; Small-molecule screening data; chemical compound data; Flow cytometry data; Brain imaging data; neuroimaging data; Trait data; Phenology data; Any data; Enzymology and biocatalysis data
2	inputs/yaml/frontiers_in_chemistry.yaml	data_required:	12. Unique policies for data types Please name all data types for which unique policies are required according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)	false	0	0:,1:	Authors are required to deposit the following mandatory data types in public, community-supported repositories, such as those listed below, prior to publication of an associated Frontiers manuscript. Genetic and genomic sequence (DNA/RNA); Metagenomic sequence; DNA and RNA trace or short-read sequencing data; Genetic polymorphism data, including SNP and CNV data; Gene expression data; chromatin immunoprecipitation data (deep-sequencing or microarray); Data linking genotype to phenotype; Protein sequence data; Proteome profiling data; Small molecule, protein, protein complex data structural data; Taxonomy data	Genetic and genomic sequence (DNA/RNA); Metagenomic sequence; DNA and RNA trace or short-read sequencing data; Genetic polymorphism data, including SNP and CNV data; Gene expression data; chromatin immunoprecipitation data (deep-sequencing or microarray); Data linking genotype to phenotype; Protein sequence data; Proteome profiling data; Small molecule, protein, protein complex data structural data; Taxonomy data
2	inputs/yaml/frontiers_in_chemistry.yaml	code_required:	13. Code sharing requirements	true	0	0:,1:	Code sharing encouraged but optional.	Code sharing required.
2	inputs/yaml/frontiers_in_chemistry.yaml	code_reproducibility:	14. Code Reproducibility	false		0:,1:	No mention of dependencies for research code.	No mention of dependencies for research code.
2	inputs/yaml/frontiers_in_chemistry.yaml	code_versioning:	15. Versioning and persistent identifiers	true	0	0:,1:	Journal policies encourage/recommend a persistent identifier or specifying a version of developed code.	No mention of a persistent identifier or specifying a version of developed code.
2	inputs/yaml/frontiers_in_chemistry.yaml	code_quality:	16. Code Quality Standards	true	0	0:,1:	The journal policies encourage/recommend certain standards for code.	The journal policies do not mention any code quality standards.
2	inputs/yaml/frontiers_in_chemistry.yaml	code_autotest:	17. Automatic Testing	false		0:,1:	No mention of automatic testing to verify code functionality.	No mention of automatic testing to verify code functionality.
2	inputs/yaml/frontiers_in_chemistry.yaml	code_docs:	18. Code Documentation	false		0:,1:	No mention of standards for code documentation.	No mention of standards for code documentation.
2	inputs/yaml/frontiers_in_chemistry.yaml	code_linting:	19. Linting Standards	false		0:,1:	No mention of linting standards for code.	No mention of linting standards for code.
2	inputs/yaml/frontiers_in_chemistry.yaml	code_development:	20. Code Development	false		0:,1:	No mention of standards for code development such as continuous integration.	No mention of standards for code development such as continuous integration.
2	inputs/yaml/frontiers_in_energy_research.yaml	rdp_exist:	1. Existence of research data policy	false		0:,1:	Research Data Policy (RDP) exists.	Research Data Policy (RDP) exists.
2	inputs/yaml/frontiers_in_energy_research.yaml	data_sharing:	3. Data sharing requirements in RDP	true	1	0:,1:	Public data sharing of all data required.	Data sharing required but not publicly (e.g. available upon request is allowed).
2	inputs/yaml/frontiers_in_energy_research.yaml	data_fair:	4. FAIR data sharing (see https://www.go-fair.org/fair-principles/ for a definition of FAIR)	false		0:,1:	Public data sharing on a FAIR repository encouraged.	Public data sharing on a FAIR repository encouraged.
2	inputs/yaml/frontiers_in_energy_research.yaml	data_availability:	2. Data availability statement	false		0:,1:	Required according to the RDP.	Required according to the RDP.
2	inputs/yaml/frontiers_in_energy_research.yaml	data_citability:	5. Citability and findability of data 	true	0	0:,1:	DOIs or other persistent identifiers recommended for datasets or codes.	DOIs or other persistent identifiers required for datasets or codes.
2	inputs/yaml/frontiers_in_energy_research.yaml	data_timing:	7. Timing of data release	true	0	0:,1:	Required data must be available after official publication.	Required data must be available prior to official publication.
2	inputs/yaml/frontiers_in_energy_research.yaml	data_sharing_method:	8. Recommended data sharing method	true	0	0:,1:	Public online repositories recommended in RDP.	No data sharing method recommended in RDP.
2	inputs/yaml/frontiers_in_energy_research.yaml	data_licenses:	9. Recommended/required licenses	false		0:,1:	No mention of data/code licenses in RDP.	No mention of data/code licenses in RDP.
2	inputs/yaml/frontiers_in_energy_research.yaml	data_referee:	10. Referee guidelines concerning research data	true	1	0:,1:	Data sharing policy not mentioned in refereeing guidelines.	Data sharing policy mentioned in refereeing guidelines.
2	inputs/yaml/frontiers_in_energy_research.yaml	data_recommended:	11. Unique policies for data types Please name all data types for which unique policies are recommended according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)	false	0	0:,1:	Authors are encouraged to consider deposition in public, community-supported repositories of the data-types listed below. Protein-protein interaction data; Metabolite and metabolome profiling data; Small-molecule screening data; chemical compound data; Flow cytometry data; Brain imaging data; neuroimaging data; Trait data; Phenology data; Any data; Enzymology and biocatalysis data	Protein-protein interaction data; Metabolite and metabolome profiling data; Small-molecule screening data; chemical compound data; Flow cytometry data; Brain imaging data; neuroimaging data; Trait data; Phenology data; Any data; Enzymology and biocatalysis data
2	inputs/yaml/frontiers_in_energy_research.yaml	data_required:	12. Unique policies for data types Please name all data types for which unique policies are required according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)	false	0	0:,1:	Authors are required to deposit the following mandatory data types in public, community-supported repositories, such as those listed below, prior to publication of an associated Frontiers manuscript. Genetic and genomic sequence (DNA/RNA); Metagenomic sequence; DNA and RNA trace or short-read sequencing data; Genetic polymorphism data, including SNP and CNV data; Gene expression data; chromatin immunoprecipitation data (deep-sequencing or microarray); Data linking genotype to phenotype; Protein sequence data; Proteome profiling data; Small molecule, protein, protein complex data structural data; Taxonomy data	Genetic and genomic sequence (DNA/RNA); Metagenomic sequence; DNA and RNA trace or short-read sequencing data; Genetic polymorphism data, including SNP and CNV data; Gene expression data; chromatin immunoprecipitation data (deep-sequencing or microarray); Data linking genotype to phenotype; Protein sequence data; Proteome profiling data; Small molecule, protein, protein complex data structural data; Taxonomy data
2	inputs/yaml/frontiers_in_energy_research.yaml	code_required:	13. Code sharing requirements	true	0	0:,1:	Code sharing encouraged but optional.	Code sharing required.
2	inputs/yaml/frontiers_in_energy_research.yaml	code_reproducibility:	14. Code Reproducibility	false		0:,1:	No mention of dependencies for research code.	No mention of dependencies for research code.
2	inputs/yaml/frontiers_in_energy_research.yaml	code_versioning:	15. Versioning and persistent identifiers	true	0	0:,1:	Journal policies encourage/recommend a persistent identifier or specifying a version of developed code.	No mention of a persistent identifier or specifying a version of developed code.
2	inputs/yaml/frontiers_in_energy_research.yaml	code_quality:	16. Code Quality Standards	true	0	0:,1:	The journal policies encourage/recommend certain standards for code.	The journal policies do not mention any code quality standards.
2	inputs/yaml/frontiers_in_energy_research.yaml	code_autotest:	17. Automatic Testing	false		0:,1:	No mention of automatic testing to verify code functionality.	No mention of automatic testing to verify code functionality.
2	inputs/yaml/frontiers_in_energy_research.yaml	code_docs:	18. Code Documentation	false		0:,1:	No mention of standards for code documentation.	No mention of standards for code documentation.
2	inputs/yaml/frontiers_in_energy_research.yaml	code_linting:	19. Linting Standards	false		0:,1:	No mention of linting standards for code.	No mention of linting standards for code.
2	inputs/yaml/frontiers_in_energy_research.yaml	code_development:	20. Code Development	false		0:,1:	No mention of standards for code development such as continuous integration.	No mention of standards for code development such as continuous integration.
2	inputs/yaml/frontiers_in_materials.yaml	rdp_exist:	1. Existence of research data policy	false		0:,1:	Research Data Policy (RDP) exists.	Research Data Policy (RDP) exists.
2	inputs/yaml/frontiers_in_materials.yaml	data_sharing:	3. Data sharing requirements in RDP	true	1	0:,1:	Public data sharing of all data required.	Data sharing required but not publicly (e.g. available upon request is allowed).
2	inputs/yaml/frontiers_in_materials.yaml	data_fair:	4. FAIR data sharing (see https://www.go-fair.org/fair-principles/ for a definition of FAIR)	false		0:,1:	Public data sharing on a FAIR repository encouraged.	Public data sharing on a FAIR repository encouraged.
2	inputs/yaml/frontiers_in_materials.yaml	data_availability:	2. Data availability statement	false		0:,1:	Required according to the RDP.	Required according to the RDP.
2	inputs/yaml/frontiers_in_materials.yaml	data_citability:	5. Citability and findability of data 	true	0	0:,1:	DOIs or other persistent identifiers recommended for datasets or codes.	DOIs or other persistent identifiers required for datasets or codes.
2	inputs/yaml/frontiers_in_materials.yaml	data_timing:	7. Timing of data release	true	0	0:,1:	Required data must be available after official publication.	Required data must be available prior to official publication.
2	inputs/yaml/frontiers_in_materials.yaml	data_sharing_method:	8. Recommended data sharing method	true	0	0:,1:	Public online repositories recommended in RDP.	No data sharing method recommended in RDP.
2	inputs/yaml/frontiers_in_materials.yaml	data_licenses:	9. Recommended/required licenses	false		0:,1:	No mention of data/code licenses in RDP.	No mention of data/code licenses in RDP.
2	inputs/yaml/frontiers_in_materials.yaml	data_referee:	10. Referee guidelines concerning research data	true	1	0:,1:	Data sharing policy not mentioned in refereeing guidelines.	Data sharing policy mentioned in refereeing guidelines.
2	inputs/yaml/frontiers_in_materials.yaml	data_recommended:	11. Unique policies for data types Please name all data types for which unique policies are recommended according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)	false	0	0:,1:	Authors are encouraged to consider deposition in public, community-supported repositories of the data-types listed below. Protein-protein interaction data; Metabolite and metabolome profiling data; Small-molecule screening data; chemical compound data; Flow cytometry data; Brain imaging data; neuroimaging data; Trait data; Phenology data; Any data; Enzymology and biocatalysis data	Protein-protein interaction data; Metabolite and metabolome profiling data; Small-molecule screening data; chemical compound data; Flow cytometry data; Brain imaging data; neuroimaging data; Trait data; Phenology data; Any data; Enzymology and biocatalysis data
2	inputs/yaml/frontiers_in_materials.yaml	data_required:	12. Unique policies for data types Please name all data types for which unique policies are required according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)	false	0	0:,1:	Authors are required to deposit the following mandatory data types in public, community-supported repositories, such as those listed below, prior to publication of an associated Frontiers manuscript. Genetic and genomic sequence (DNA/RNA); Metagenomic sequence; DNA and RNA trace or short-read sequencing data; Genetic polymorphism data, including SNP and CNV data; Gene expression data; chromatin immunoprecipitation data (deep-sequencing or microarray); Data linking genotype to phenotype; Protein sequence data; Proteome profiling data; Small molecule, protein, protein complex data structural data; Taxonomy data	Genetic and genomic sequence (DNA/RNA); Metagenomic sequence; DNA and RNA trace or short-read sequencing data; Genetic polymorphism data, including SNP and CNV data; Gene expression data; chromatin immunoprecipitation data (deep-sequencing or microarray); Data linking genotype to phenotype; Protein sequence data; Proteome profiling data; Small molecule, protein, protein complex data structural data; Taxonomy data
2	inputs/yaml/frontiers_in_materials.yaml	code_required:	13. Code sharing requirements	true	0	0:,1:	Code sharing encouraged but optional.	Code sharing required.
2	inputs/yaml/frontiers_in_materials.yaml	code_reproducibility:	14. Code Reproducibility	false		0:,1:	No mention of dependencies for research code.	No mention of dependencies for research code.
2	inputs/yaml/frontiers_in_materials.yaml	code_versioning:	15. Versioning and persistent identifiers	true	0	0:,1:	Journal policies encourage/recommend a persistent identifier or specifying a version of developed code.	No mention of a persistent identifier or specifying a version of developed code.
2	inputs/yaml/frontiers_in_materials.yaml	code_quality:	16. Code Quality Standards	true	0	0:,1:	The journal policies encourage/recommend certain standards for code.	The journal policies do not mention any code quality standards.
2	inputs/yaml/frontiers_in_materials.yaml	code_autotest:	17. Automatic Testing	false		0:,1:	No mention of automatic testing to verify code functionality.	No mention of automatic testing to verify code functionality.
2	inputs/yaml/frontiers_in_materials.yaml	code_docs:	18. Code Documentation	false		0:,1:	No mention of standards for code documentation.	No mention of standards for code documentation.
2	inputs/yaml/frontiers_in_materials.yaml	code_linting:	19. Linting Standards	false		0:,1:	No mention of linting standards for code.	No mention of linting standards for code.
2	inputs/yaml/frontiers_in_materials.yaml	code_development:	20. Code Development	false		0:,1:	No mention of standards for code development such as continuous integration.	No mention of standards for code development such as continuous integration.
2	inputs/yaml/frontiers_in_nanotechnology.yaml	rdp_exist:	1. Existence of research data policy	false		0:,1:	Research Data Policy (RDP) exists.	Research Data Policy (RDP) exists.
2	inputs/yaml/frontiers_in_nanotechnology.yaml	data_sharing:	3. Data sharing requirements in RDP	true	1	0:,1:	Public data sharing of all data required.	Data sharing required but not publicly (e.g. available upon request is allowed).
2	inputs/yaml/frontiers_in_nanotechnology.yaml	data_fair:	4. FAIR data sharing (see https://www.go-fair.org/fair-principles/ for a definition of FAIR)	false		0:,1:	Public data sharing on a FAIR repository encouraged.	Public data sharing on a FAIR repository encouraged.
2	inputs/yaml/frontiers_in_nanotechnology.yaml	data_availability:	2. Data availability statement	false		0:,1:	Required according to the RDP.	Required according to the RDP.
2	inputs/yaml/frontiers_in_nanotechnology.yaml	data_citability:	5. Citability and findability of data 	true	0	0:,1:	DOIs or other persistent identifiers recommended for datasets or codes.	DOIs or other persistent identifiers required for datasets or codes.
2	inputs/yaml/frontiers_in_nanotechnology.yaml	data_timing:	7. Timing of data release	true	0	0:,1:	Required data must be available after official publication.	Required data must be available prior to official publication.
2	inputs/yaml/frontiers_in_nanotechnology.yaml	data_sharing_method:	8. Recommended data sharing method	true	0	0:,1:	Public online repositories recommended in RDP.	No data sharing method recommended in RDP.
2	inputs/yaml/frontiers_in_nanotechnology.yaml	data_licenses:	9. Recommended/required licenses	false		0:,1:	No mention of data/code licenses in RDP.	No mention of data/code licenses in RDP.
2	inputs/yaml/frontiers_in_nanotechnology.yaml	data_referee:	10. Referee guidelines concerning research data	true	1	0:,1:	Data sharing policy not mentioned in refereeing guidelines.	Data sharing policy mentioned in refereeing guidelines.
2	inputs/yaml/frontiers_in_nanotechnology.yaml	data_recommended:	11. Unique policies for data types Please name all data types for which unique policies are recommended according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)	false	0	0:,1:	Authors are encouraged to consider deposition in public, community-supported repositories of the data-types listed below. Protein-protein interaction data; Metabolite and metabolome profiling data; Small-molecule screening data; chemical compound data; Flow cytometry data; Brain imaging data; neuroimaging data; Trait data; Phenology data; Any data; Enzymology and biocatalysis data	Protein-protein interaction data; Metabolite and metabolome profiling data; Small-molecule screening data; chemical compound data; Flow cytometry data; Brain imaging data; neuroimaging data; Trait data; Phenology data; Any data; Enzymology and biocatalysis data
2	inputs/yaml/frontiers_in_nanotechnology.yaml	data_required:	12. Unique policies for data types Please name all data types for which unique policies are required according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)	false	0	0:,1:	Authors are required to deposit the following mandatory data types in public, community-supported repositories, such as those listed below, prior to publication of an associated Frontiers manuscript. Genetic and genomic sequence (DNA/RNA); Metagenomic sequence; DNA and RNA trace or short-read sequencing data; Genetic polymorphism data, including SNP and CNV data; Gene expression data; chromatin immunoprecipitation data (deep-sequencing or microarray); Data linking genotype to phenotype; Protein sequence data; Proteome profiling data; Small molecule, protein, protein complex data structural data; Taxonomy data	Genetic and genomic sequence (DNA/RNA); Metagenomic sequence; DNA and RNA trace or short-read sequencing data; Genetic polymorphism data, including SNP and CNV data; Gene expression data; chromatin immunoprecipitation data (deep-sequencing or microarray); Data linking genotype to phenotype; Protein sequence data; Proteome profiling data; Small molecule, protein, protein complex data structural data; Taxonomy data
2	inputs/yaml/frontiers_in_nanotechnology.yaml	code_required:	13. Code sharing requirements	true	0	0:,1:	Code sharing encouraged but optional.	Code sharing required.
2	inputs/yaml/frontiers_in_nanotechnology.yaml	code_reproducibility:	14. Code Reproducibility	false		0:,1:	No mention of dependencies for research code.	No mention of dependencies for research code.
2	inputs/yaml/frontiers_in_nanotechnology.yaml	code_versioning:	15. Versioning and persistent identifiers	true	0	0:,1:	Journal policies encourage/recommend a persistent identifier or specifying a version of developed code.	No mention of a persistent identifier or specifying a version of developed code.
2	inputs/yaml/frontiers_in_nanotechnology.yaml	code_quality:	16. Code Quality Standards	true	0	0:,1:	The journal policies encourage/recommend certain standards for code.	The journal policies do not mention any code quality standards.
2	inputs/yaml/frontiers_in_nanotechnology.yaml	code_autotest:	17. Automatic Testing	false		0:,1:	No mention of automatic testing to verify code functionality.	No mention of automatic testing to verify code functionality.
2	inputs/yaml/frontiers_in_nanotechnology.yaml	code_docs:	18. Code Documentation	false		0:,1:	No mention of standards for code documentation.	No mention of standards for code documentation.
2	inputs/yaml/frontiers_in_nanotechnology.yaml	code_linting:	19. Linting Standards	false		0:,1:	No mention of linting standards for code.	No mention of linting standards for code.
2	inputs/yaml/frontiers_in_nanotechnology.yaml	code_development:	20. Code Development	false		0:,1:	No mention of standards for code development such as continuous integration.	No mention of standards for code development such as continuous integration.
2	inputs/yaml/frontiers_in_physics.yaml	rdp_exist:	1. Existence of research data policy	false		0:,1:	Research Data Policy (RDP) exists.	Research Data Policy (RDP) exists.
2	inputs/yaml/frontiers_in_physics.yaml	data_sharing:	3. Data sharing requirements in RDP	true	1	0:,1:	Public data sharing of all data required.	Data sharing required but not publicly (e.g. available upon request is allowed).
2	inputs/yaml/frontiers_in_physics.yaml	data_fair:	4. FAIR data sharing (see https://www.go-fair.org/fair-principles/ for a definition of FAIR)	false		0:,1:	Public data sharing on a FAIR repository encouraged.	Public data sharing on a FAIR repository encouraged.
2	inputs/yaml/frontiers_in_physics.yaml	data_availability:	2. Data availability statement	false		0:,1:	Required according to the RDP.	Required according to the RDP.
2	inputs/yaml/frontiers_in_physics.yaml	data_citability:	5. Citability and findability of data 	true	0	0:,1:	DOIs or other persistent identifiers recommended for datasets or codes.	DOIs or other persistent identifiers required for datasets or codes.
2	inputs/yaml/frontiers_in_physics.yaml	data_timing:	7. Timing of data release	true	0	0:,1:	Required data must be available after official publication.	Required data must be available prior to official publication.
2	inputs/yaml/frontiers_in_physics.yaml	data_sharing_method:	8. Recommended data sharing method	true	0	0:,1:	Public online repositories recommended in RDP.	No data sharing method recommended in RDP.
2	inputs/yaml/frontiers_in_physics.yaml	data_licenses:	9. Recommended/required licenses	false		0:,1:	No mention of data/code licenses in RDP.	No mention of data/code licenses in RDP.
2	inputs/yaml/frontiers_in_physics.yaml	data_referee:	10. Referee guidelines concerning research data	true	1	0:,1:	Data sharing policy not mentioned in refereeing guidelines.	Data sharing policy mentioned in refereeing guidelines.
2	inputs/yaml/frontiers_in_physics.yaml	data_recommended:	11. Unique policies for data types Please name all data types for which unique policies are recommended according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)	false	0	0:,1:	Authors are encouraged to consider deposition in public, community-supported repositories of the data-types listed below. Protein-protein interaction data; Metabolite and metabolome profiling data; Small-molecule screening data; chemical compound data; Flow cytometry data; Brain imaging data; neuroimaging data; Trait data; Phenology data; Any data; Enzymology and biocatalysis data	Protein-protein interaction data; Metabolite and metabolome profiling data; Small-molecule screening data; chemical compound data; Flow cytometry data; Brain imaging data; neuroimaging data; Trait data; Phenology data; Any data; Enzymology and biocatalysis data
2	inputs/yaml/frontiers_in_physics.yaml	data_required:	12. Unique policies for data types Please name all data types for which unique policies are required according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)	false	0	0:,1:	Authors are required to deposit the following mandatory data types in public, community-supported repositories, such as those listed below, prior to publication of an associated Frontiers manuscript. Genetic and genomic sequence (DNA/RNA); Metagenomic sequence; DNA and RNA trace or short-read sequencing data; Genetic polymorphism data, including SNP and CNV data; Gene expression data; chromatin immunoprecipitation data (deep-sequencing or microarray); Data linking genotype to phenotype; Protein sequence data; Proteome profiling data; Small molecule, protein, protein complex data structural data; Taxonomy data	Genetic and genomic sequence (DNA/RNA); Metagenomic sequence; DNA and RNA trace or short-read sequencing data; Genetic polymorphism data, including SNP and CNV data; Gene expression data; chromatin immunoprecipitation data (deep-sequencing or microarray); Data linking genotype to phenotype; Protein sequence data; Proteome profiling data; Small molecule, protein, protein complex data structural data; Taxonomy data
2	inputs/yaml/frontiers_in_physics.yaml	code_required:	13. Code sharing requirements	true	0	0:,1:	Code sharing encouraged but optional.	Code sharing required.
2	inputs/yaml/frontiers_in_physics.yaml	code_reproducibility:	14. Code Reproducibility	false		0:,1:	No mention of dependencies for research code.	No mention of dependencies for research code.
2	inputs/yaml/frontiers_in_physics.yaml	code_versioning:	15. Versioning and persistent identifiers	true	0	0:,1:	Journal policies encourage/recommend a persistent identifier or specifying a version of developed code.	No mention of a persistent identifier or specifying a version of developed code.
2	inputs/yaml/frontiers_in_physics.yaml	code_quality:	16. Code Quality Standards	true	0	0:,1:	The journal policies encourage/recommend certain standards for code.	The journal policies do not mention any code quality standards.
2	inputs/yaml/frontiers_in_physics.yaml	code_autotest:	17. Automatic Testing	false		0:,1:	No mention of automatic testing to verify code functionality.	No mention of automatic testing to verify code functionality.
2	inputs/yaml/frontiers_in_physics.yaml	code_docs:	18. Code Documentation	false		0:,1:	No mention of standards for code documentation.	No mention of standards for code documentation.
2	inputs/yaml/frontiers_in_physics.yaml	code_linting:	19. Linting Standards	false		0:,1:	No mention of linting standards for code.	No mention of linting standards for code.
2	inputs/yaml/frontiers_in_physics.yaml	code_development:	20. Code Development	false		0:,1:	No mention of standards for code development such as continuous integration.	No mention of standards for code development such as continuous integration.
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	rdp_exist:	1. Existence of research data policy	false		0:,1:	Research Data Policy (RDP) exists.	Research Data Policy (RDP) exists.
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	data_sharing:	3. Data sharing requirements in RDP	false		0:,1:	Data sharing encouraged but optional.	Data sharing encouraged but optional.
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	data_fair:	4. FAIR data sharing (see https://www.go-fair.org/fair-principles/ for a definition of FAIR)	false		0:,1:	Public data sharing on a FAIR repository encouraged.	Public data sharing on a FAIR repository encouraged.
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	data_availability:	2. Data availability statement	false		0:,1:	Mentioned in the RDP but optional.	Mentioned in the RDP but optional.
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	data_citability:	5. Citability and findability of data 	false		0:,1:	DOIs or other persistent identifiers recommended for datasets or codes.	DOIs or other persistent identifiers recommended for datasets or codes.
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	data_timing:	7. Timing of data release	true	1	0:,1:	Required data must be available prior to official publication.	Required data must be available prior to review process.
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	data_sharing_method:	8. Recommended data sharing method	false		0:,1:	Public online repositories recommended in RDP.	Public online repositories recommended in RDP.
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	data_licenses:	9. Recommended/required licenses	false		0:,1:	No mention of data/code licenses in RDP.	No mention of data/code licenses in RDP.
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	data_referee:	10. Referee guidelines concerning research data	false		0:,1:	Data sharing policy not mentioned in refereeing guidelines.	Data sharing policy not mentioned in refereeing guidelines.
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	data_recommended:	11. Unique policies for data types Please name all data types for which unique policies are recommended according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)	false		0:,1:	no text	no text
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	data_required:	12. Unique policies for data types Please name all data types for which unique policies are required according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)	false		0:,1:	no text	no text
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	code_required:	13. Code sharing requirements	false		0:,1:	Code sharing encouraged but optional.	Code sharing encouraged but optional.
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	code_reproducibility:	14. Code Reproducibility	false		0:,1:	No mention of dependencies for research code.	No mention of dependencies for research code.
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	code_versioning:	15. Versioning and persistent identifiers	false		0:,1:	No mention of a persistent identifier or specifying a version of developed code.	No mention of a persistent identifier or specifying a version of developed code.
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	code_quality:	16. Code Quality Standards	false		0:,1:	The journal policies do not mention any code quality standards.	The journal policies do not mention any code quality standards.
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	code_autotest:	17. Automatic Testing	false		0:,1:	No mention of automatic testing to verify code functionality.	No mention of automatic testing to verify code functionality.
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	code_docs:	18. Code Documentation	false		0:,1:	No mention of standards for code documentation.	No mention of standards for code documentation.
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	code_linting:	19. Linting Standards	false		0:,1:	No mention of linting standards for code.	No mention of linting standards for code.
2	inputs/yaml/green_chemistry_letters_and_reviews.yaml	code_development:	20. Code Development	false		0:,1:	No mention of standards for code development such as continuous integration.	No mention of standards for code development such as continuous integration.
2	inputs/yaml/international_journal_of_nanomedicine.yaml	rdp_exist:	1. Existence of research data policy	false		0:,1:	Research Data Policy (RDP) exists.	Research Data Policy (RDP) exists.
2	inputs/yaml/international_journal_of_nanomedicine.yaml	data_sharing:	3. Data sharing requirements in RDP	true	1	0:,1:	Public data sharing required only for specific types of data.	Data sharing encouraged but optional.
2	inputs/yaml/international_journal_of_nanomedicine.yaml	data_fair:	4. FAIR data sharing (see https://www.go-fair.org/fair-principles/ for a definition of FAIR)	true	1	0:,1:	Public data sharing on a FAIR repository not mentioned in RDP.	Public data sharing on a FAIR repository encouraged.
2	inputs/yaml/international_journal_of_nanomedicine.yaml	data_availability:	2. Data availability statement	false		0:,1:	Mentioned in the RDP but optional.	Mentioned in the RDP but optional.
2	inputs/yaml/international_journal_of_nanomedicine.yaml	data_citability:	5. Citability and findability of data 	false		0:,1:	DOIs or other persistent identifiers recommended for datasets or codes.	DOIs or other persistent identifiers recommended for datasets or codes.
2	inputs/yaml/international_journal_of_nanomedicine.yaml	data_timing:	7. Timing of data release	false		0:,1:	Required data must be available prior to review process.	Required data must be available prior to review process.
2	inputs/yaml/international_journal_of_nanomedicine.yaml	data_sharing_method:	8. Recommended data sharing method	true	1	0:,1:	Public online repositories recommended in RDP.	Multiple data sharing methods equally recommended in RDP.
2	inputs/yaml/international_journal_of_nanomedicine.yaml	data_licenses:	9. Recommended/required licenses	false		0:,1:	No mention of data/code licenses in RDP.	No mention of data/code licenses in RDP.
2	inputs/yaml/international_journal_of_nanomedicine.yaml	data_referee:	10. Referee guidelines concerning research data	false		0:,1:	Data sharing policy not mentioned in refereeing guidelines.	Data sharing policy not mentioned in refereeing guidelines.
2	inputs/yaml/international_journal_of_nanomedicine.yaml	data_recommended:	11. Unique policies for data types Please name all data types for which unique policies are recommended according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)	false		0:,1:	no text	no text
2	inputs/yaml/international_journal_of_nanomedicine.yaml	data_required:	12. Unique policies for data types Please name all data types for which unique policies are required according to the RDP (Please separate all data types be semicolon, e.g. crystal structures; Protein sequence)	false		0:,1:	no text	no text
2	inputs/yaml/international_journal_of_nanomedicine.yaml	code_required:	13. Code sharing requirements	true	1	0:,1:	Code sharing not mentioned.	Code sharing encouraged but optional.
